,date,car_model,brand,units_sold,price,total_sales,year
0,2023-01-01,Creta,Hyundai,25.0,1200000.0,30000000.0,2023
1,2023-01-02,Harrier,Tata,7.0,1700000.0,11900000.0,2023
2,2023-01-02,XUV700,Mahindra,60.0,2000000.0,12000000.0,2023
3,2023-01-06,Sonet,Kia,24.0,900000.0,21600000.0,2023
4,2023-01-08,Venue,Hyundai,21.0,950000.0,19950000.0,2023
5,2023-01-09,Safari,Tata,5.0,1800000.0,9000000.0,2023
6,2023-01-12,Nexon,Tata,13.0,800000.0,10400000.0,2023
7,2023-01-16,Sonet,Kia,12.0,900000.0,10800000.0,2023
8,2023-01-17,Seltos,Kia,5.0,1250000.0,6250000.0,2023
9,2023-01-19,City,Honda,15.0,1100000.0,16500000.0,2023
10,2023-01-21,Kushaq,Skoda,19.0,1300000.0,24700000.0,2023
11,2023-01-24,Seltos,Kia,20.0,1250000.0,25000000.0,2023
12,2023-01-25,Amaze,Honda,19.0,800000.0,15200000.0,2023
13,2023-01-28,Brezza,Maruti,15.0,850000.0,12750000.0,2023
14,2023-01-30,Verna,Hyundai,18.0,1100000.0,19800000.0,2023
15,2023-02-02,Thar,Mahindra,6.0,1500000.0,9000000.0,2023
16,2023-02-07,Sonet,Kia,20.0,900000.0,18000000.0,2023
17,2023-02-10,Nexon,Tata,6.0,800000.0,4800000.0,2023
18,2023-02-12,Harrier,Tata,14.0,1700000.0,23800000.0,2023
19,2023-02-15,XUV700,Mahindra,11.0,2000000.0,22000000.0,2023
20,2023-02-18,Seltos,Kia,19.0,1250000.0,23750000.0,2023
21,2023-02-19,Sonet,Kia,12.0,900000.0,10800000.0,2023
22,2023-02-19,Harrier,Tata,5.0,1700000.0,8500000.0,2023
23,2023-02-21,Kushaq,Skoda,21.0,1300000.0,27300000.0,2023
24,2023-02-24,XUV700,Mahindra,24.0,2000000.0,48000000.0,2023
25,2023-02-25,Creta,Hyundai,24.0,1200000.0,28800000.0,2023
26,2023-02-25,Nexon,Tata,12.0,800000.0,9600000.0,2023
27,2023-03-03,City,Honda,13.0,1100000.0,14300000.0,2023
28,2023-03-06,Baleno,Maruti,8.0,700000.0,5600000.0,2023
29,2023-03-09,Venue,Hyundai,22.0,950000.0,20900000.0,2023
30,2023-03-12,Venue,Hyundai,21.0,950000.0,19950000.0,2023
31,2023-03-17,City,Honda,21.0,1100000.0,23100000.0,2023
32,2023-03-18,Seltos,Kia,7.0,1250000.0,8750000.0,2023
33,2023-03-19,Harrier,Tata,7.0,1700000.0,11900000.0,2023
34,2023-04-04,City,Honda,9.0,1100000.0,9900000.0,2023
35,2023-04-06,Seltos,Kia,15.0,1250000.0,18750000.0,2023
36,2023-04-11,Safari,Tata,16.0,1800000.0,28800000.0,2023
37,2023-04-12,Baleno,Maruti,20.0,700000.0,14000000.0,2023
38,2023-04-12,Swift,Maruti,19.0,650000.0,12350000.0,2023
39,2023-04-15,Slavia,Skoda,21.0,1350000.0,28350000.0,2023
40,2023-04-16,Brezza,Maruti,15.0,850000.0,12750000.0,2023
41,2023-04-18,Swift,Maruti,5.0,650000.0,3250000.0,2023
42,2023-04-23,Sonet,Kia,7.0,900000.0,6300000.0,2023
43,2023-04-24,Safari,Tata,9.0,1800000.0,16200000.0,2023
44,2023-05-04,Nexon,Tata,5.0,800000.0,4000000.0,2023
45,2023-05-08,Verna,Hyundai,25.0,1100000.0,27500000.0,2023
46,2023-05-08,Harrier,Tata,11.0,1700000.0,18700000.0,2023
47,2023-05-15,Brezza,Maruti,21.0,850000.0,17850000.0,2023
48,2023-05-16,Harrier,Tata,9.0,1700000.0,15300000.0,2023
49,2023-05-17,Baleno,Maruti,25.0,700000.0,17500000.0,2023
50,2023-05-21,Swift,Maruti,19.0,650000.0,12350000.0,2023
51,2023-05-26,City,Honda,22.0,1100000.0,24200000.0,2023
52,2023-05-26,Sonet,Kia,14.0,900000.0,12600000.0,2023
53,2023-05-28,Seltos,Kia,5.0,1250000.0,6250000.0,2023
54,2023-06-03,Amaze,Honda,35.0,800000.0,28000000.0,2023
55,2023-06-04,Punch,Tata,5.0,600000.0,3000000.0,2023
56,2023-06-04,Verna,Hyundai,15.0,1100000.0,16500000.0,2023
57,2023-06-07,Slavia,Skoda,22.0,1350000.0,29700000.0,2023
58,2023-06-07,Seltos,Kia,18.0,1250000.0,22500000.0,2023
59,2023-06-08,Swift,Maruti,7.0,650000.0,4550000.0,2023
60,2023-06-10,Slavia,Skoda,20.0,1350000.0,27000000.0,2023
61,2023-06-12,Baleno,Maruti,16.0,700000.0,11200000.0,2023
62,2023-06-13,Swift,Maruti,5.0,650000.0,3250000.0,2023
63,2023-06-13,City,Honda,7.0,1100000.0,7700000.0,2023
64,2023-06-14,Punch,Tata,7.0,600000.0,4200000.0,2023
65,2023-06-14,Baleno,Maruti,12.0,700000.0,8400000.0,2023
66,2023-06-16,Brezza,Maruti,22.0,850000.0,18700000.0,2023
67,2023-06-20,Kushaq,Skoda,25.0,1300000.0,32500000.0,2023
68,2023-06-21,City,Honda,19.0,1100000.0,20900000.0,2023
69,2023-06-22,Baleno,Maruti,24.0,700000.0,16800000.0,2023
70,2023-06-26,Seltos,Kia,20.0,1250000.0,25000000.0,2023
71,2023-06-27,XUV700,Mahindra,8.0,2000000.0,16000000.0,2023
72,2023-06-27,Nexon,Tata,17.0,800000.0,13600000.0,2023
73,2023-06-27,Slavia,Skoda,20.0,1350000.0,27000000.0,2023
74,2023-06-28,Nexon,Tata,9.0,800000.0,7200000.0,2023
75,2023-06-28,Thar,Mahindra,12.0,1500000.0,18000000.0,2023
76,2023-07-02,Baleno,Maruti,10.0,700000.0,7000000.0,2023
77,2023-07-02,Baleno,Maruti,24.0,700000.0,16800000.0,2023
78,2023-07-02,Venue,Hyundai,18.0,950000.0,17100000.0,2023
79,2023-07-04,Nexon,Tata,21.0,800000.0,16800000.0,2023
80,2023-07-09,Venue,Hyundai,16.0,950000.0,15200000.0,2023
81,2023-07-10,Nexon,Tata,11.0,800000.0,8800000.0,2023
82,2023-07-10,Seltos,Kia,7.0,1250000.0,8750000.0,2023
83,2023-07-11,Slavia,Skoda,5.0,1350000.0,6750000.0,2023
84,2023-07-15,XUV700,Mahindra,20.0,2000000.0,40000000.0,2023
85,2023-07-17,Verna,Hyundai,17.0,1100000.0,18700000.0,2023
86,2023-07-17,Punch,Tata,24.0,600000.0,14400000.0,2023
87,2023-07-20,Punch,Tata,21.0,600000.0,12600000.0,2023
88,2023-07-21,Harrier,Tata,17.0,1700000.0,28900000.0,2023
89,2023-07-22,Slavia,Skoda,25.0,1350000.0,33750000.0,2023
90,2023-07-24,Thar,Mahindra,16.0,1500000.0,24000000.0,2023
91,2023-07-27,Slavia,Skoda,15.0,1350000.0,20250000.0,2023
92,2023-07-27,Punch,Tata,18.0,600000.0,10800000.0,2023
93,2023-07-27,Brezza,Maruti,8.0,850000.0,6800000.0,2023
94,2023-07-29,XUV700,Mahindra,11.0,2000000.0,22000000.0,2023
95,2023-07-29,Harrier,Tata,11.0,1700000.0,18700000.0,2023
96,2023-08-01,Swift,Maruti,5.0,650000.0,3250000.0,2023
97,2023-08-09,Brezza,Maruti,25.0,850000.0,21250000.0,2023
98,2023-08-09,Seltos,Kia,21.0,1250000.0,26250000.0,2023
99,2023-08-14,Baleno,Maruti,17.0,700000.0,11900000.0,2023
100,2023-08-15,Venue,Hyundai,19.0,950000.0,18050000.0,2023
101,2023-08-22,Kushaq,Skoda,9.0,1300000.0,11700000.0,2023
102,2023-08-22,Slavia,Skoda,9.0,1350000.0,12150000.0,2023
103,2023-08-29,Kushaq,Skoda,18.0,1300000.0,23400000.0,2023
104,2023-08-30,Verna,Hyundai,25.0,1100000.0,27500000.0,2023
105,2023-08-30,Seltos,Kia,20.0,1250000.0,25000000.0,2023
